694690,-699041,65147,-83057,-399188,73604,-447800,259727,-179326,-450302,-1,-1
-24974,93953,-882259,-715838,74884,835810,28516,245102,237552,-110221,-1,-1
18321,-529669,-686532,-831789,-899039,303197,874294,-864082,-176575,-447610,-1,-1
-205514,337418,310300,-427893,768004,270626,-338851,-481631,142136,-580140,-1,-1
888931,918037,890244,390990,250651,-399716,502296,498978,-506181,-9317,-1,1
160867,264383,-215438,-305998,131152,629623,30308,297831,931625,168340,-1,1
423687,380043,382608,752149,-483152,-482936,939355,308650,-721681,244258,-1,1
-729748,179072,817213,-617811,781862,378870,675741,330338,-258580,-262620,-1,1
398789,-870683,590427,697794,-307594,663485,734508,980842,-485257,-7396,-1,1
-747351,935495,917993,263278,12065,-465654,-531366,195615,-423074,960062,-1,1
64293,599361,832380,690876,-161682,-368623,344466,-835335,415894,435865,-1,1
965052,-141478,492524,128986,-13242,810573,-187081,-49951,-21701,-847563,-1,1
768334,785551,944741,-457151,389258,892914,668569,33577,-93949,-998657,-1,1
-185864,-175430,82882,314412,-145834,36373,-902324,-558027,-484058,395285,-1,-1
476534,128894,922189,638437,-921565,-613836,670038,762540,44435,693282,-1,1
-539935,-397935,917099,408136,-229685,912352,-333908,801406,698867,575014,-1,1
-798307,494475,985650,26267,-570867,727640,-416693,244724,436684,-698932,-1,1
353813,187076,-515781,304492,500870,-186452,-870375,-346464,-251524,921543,-1,1
821627,969498,930513,-332948,902595,945621,483267,-542778,7193,-656473,-1,1
112872,95284,-479928,-427675,-884698,390538,-67424,-906120,749192,-892720,-1,-1
812502,288826,190079,-765849,-586246,196945,740516,-73340,-572777,-189287,-1,1
-360267,630832,-450324,615456,-678040,-772277,-423714,681931,991028,631402,-1,1
401979,-29635,-779986,365191,-833579,-408228,673774,125736,-986057,371309,-1,-1
-336643,-605755,-310131,28695,488693,-926467,827835,-506496,587687,432147,-1,-1
936370,-990502,-687855,911707,608587,-352207,-352311,-907318,850627,-347666,-1,-1
-846498,741787,-359259,-429383,723090,215895,-495728,-82271,-436406,465318,-1,-1
349147,390732,119711,-610836,434200,750905,-13319,202538,-48845,-151018,-1,1
194712,-42438,411610,-63858,726074,-993865,-877845,-898208,954759,957891,-1,1
-292601,585455,142020,-131237,77071,428517,-231111,165476,809993,-806533,-1,1
137902,-229115,714136,654301,-432821,-66059,587758,855732,-414350,497937,-1,1
